,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
884,885,G-III Apparel Group,2766.5,34.6,200.6,752.0,2742.5,1296.1,64,3250,1,0
885,886,ITT,2765.0,11.6,316.3,336.3,3565.4,6415.4,-37,9900,1,1
886,887,IDEX,2764.8,17.6,449.4,19.0,4917.2,14591.6,-6,7536,1,1
887,888,Popular,2764.8,6.2,934.9,84.5,75097.9,6252.3,-73,8351,1,1
890,891,Brookdale Senior Living,2758.3,-22.1,-99.3,-221.1,6410.5,1308.3,-226,28545,0,1
891,892,Werner Enterprises,2734.4,15.3,259.1,53.2,2603.7,2697.9,-21,13525,1,1
892,893,Americold Realty Trust,2714.8,36.6,-30.5,-224.1,8216.2,7489.8,64,16275,0,0
894,895,Primerica,2709.7,22.2,373.4,-3.3,16123.2,5326.8,14,3170,1,0
896,897,Nu Skin Enterprises,2695.7,4.4,147.3,-23.0,1906.5,2385.6,-77,19600,1,1
897,898,Copart,2692.5,22.1,936.5,33.8,4562.1,29798.8,12,8600,1,0
903,904,Ensign Group,2627.5,9.4,194.7,14.2,2850.6,4958.3,-45,25900,1,1
905,906,Kaiser Aluminum,2622.0,123.6,-18.5,-164.2,2422.4,1493.9,-,3957,0,1
907,908,F5,2603.4,10.7,331.2,7.7,4997.3,12691.2,-26,6429,1,1
908,909,Steelcase,2596.2,-30.3,26.1,-86.9,2354.0,1339.5,-264,11400,1,1
909,910,Encore Wire,2592.7,103.0,541.4,611.8,1530.5,2250.3,-,1440,1,1
911,912,Playtika Holding,2583.0,8.9,308.5,235.0,2803.3,7965.8,-40,4000,1,1
914,915,ManTech International,2554.0,1.4,137.0,13.7,2639.6,3517.6,-80,9800,1,1
916,917,NortonLifeLock,2552.0,-33.9,554.0,-85.7,6361.0,15441.9,-286,2800,1,1
917,918,Deckers Outdoor,2545.6,19.4,382.6,38.5,2167.7,7457.8,11,3400,1,0
918,919,Griffon,2541.7,5.6,79.2,48.3,2604.7,1127.8,-61,6700,1,1
920,921,Curtiss-Wright,2505.9,4.8,267.2,32.7,4103.5,5771.0,-58,7800,1,1
921,922,MYR Group,2498.3,11.2,85.0,44.7,1121.1,1594.5,-16,7600,1,1
927,928,Equity Residential,2464.0,-4.2,1332.9,45.9,21169.2,33802.5,-104,2400,1,1
